unsischerheit_methode;Iteration;Aktuelle_verlust;seed;batch_size;to_Query;num_epochs;abgelaufene Zeit;Anzahl der vorhergesagteten Bildern;Good predicted;Falsh_predicted;not_prediction
entropie;1;2.028022615239024;5140;30;2;2;198.09818649291992;2;0;0;0
entropie;1;1.918826448614709;5140;30;2;2;178.74533319473267;2;0;0;1
entropie;2;1.918826448614709;5142;30;2;2;159.03751373291016;2;0;0;1
entropie;3;1.918826448614709;5144;30;2;2;159.86354970932007;2;0;0;1
entropie;1;1.2531943563371897;5140;30;2;2;188.64953136444092;2;0;0;0
entropie;2;1.2531943563371897;5142;30;2;2;201.92262387275696;2;0;0;0
entropie;1;2.8389756605029106;5140;30;2;2;194.4110267162323;2;0;0;0
entropie;1;1.6939367279410362;5140;30;2;1;103.23663926124573;2;0;0;2
entropie;2;1.6939367279410362;5142;30;2;1;96.8618221282959;2;0;0;2
entropie;3;1.6939367279410362;5144;30;2;1;86.8339626789093;2;0;0;2
