unsischerheit_methode;Iteration;Aktuelle_verlust;seed;batch_size;to_Query;num_epochs;abgelaufene Zeit;Anzahl der vorhergesagteten Bildern;Good predicted;Falsh_predicted;not_prediction
entropie;1;1.6580295503139497;19;0.1;2;10;96.18423581123352;2;0;0;2
entropie;1;1.5521281838417054;19;0.1;2;10;100.74613332748413;2;0;0;2
entropie;1;1.5254454895853997;19;0.1;2;10;97.19207286834717;2;0;0;2
entropie;1;1.7912707448005676;19;0.1;2;10;95.85833835601807;2;0;0;2
entropie;2;1.188941238820553;21;0.1;2;10;91.40419840812683;2;0;0;2
entropie;3;1.188941238820553;23;0.1;2;10;62.47503113746643;2;0;0;0
entropie;4;1.188941238820553;25;0.1;2;10;61.91038918495178;2;0;0;0
entropie;1;1.5500682309269904;344;2;2;10;98.72389698028564;2;0;0;2
entropie;1;4.940202345781623;344;2;2;10;254.75805020332336;2;0;0;2
entropie;1;5.83438733924977;16956;99;2;10;234.2846097946167;2;0;0;2
